Letter_n,n,max_n,Letter_n+1,Freq
ट,2,6,क,1
क,3,6,ल,2
ल,4,6,बा,1
बा,5,6,जी,10
जी,6,6,-,16
क,3,4,लों,3
लों,4,4,-,49
अ,1,3,ट,5
ट,2,3,का,11
ट,2,4,का,24
का,3,4,ने,14
का,3,4,या,11
ट,2,3,की,11
की,3,3,-,107
ट,2,3,के,8
के,3,3,-,80
ट,2,4,प,8
प,3,4,टा,2
टा,4,4,-,10
प,3,4,टी,3
टी,4,4,-,27
प,3,4,टे,2
टे,4,4,-,6
ट,2,4,रि,5
ट,2,3,ल,5
-,0,2,अ,21
अ,1,2,टी,1
टी,2,2,-,42
अ,1,3,टू,1
टू,2,3,ट,1
ट,3,3,-,83
अ,1,2,टे,1
टे,2,2,-,48
अ,1,5,टै,1
टै,2,5,च,1
च,3,5,में,1
में,4,5,ट,3
अ,1,4,टै,2
टै,2,4,चि,2
चि,3,4,यां,3
अ,1,3,टै,1
टै,2,3,ची,1
ची,3,3,-,19
अ,1,5,ट्,2
ट्,2,5,ठा,2
ठा,3,5,इ,1
इ,4,5,स,2
स,5,5,-,85
ठा,3,5,र,1
र,4,5,ह,7
ह,5,5,-,40
अ,1,5,ठ,2
ठ,2,5,खे,2
खे,3,5,लि,2
लि,4,5,यां,4
यां,5,5,-,49
लि,4,5,यों,7
अ,1,4,ठ,1
ठ,2,4,न्,1
न्,3,4,नी,2
अ,1,3,ठो,1
ठो,2,3,ली,1
अ,1,3,ड,1
ड,2,3,डा,1
डा,3,3,-,16
अ,1,2,ड़,1
ड़,2,2,-,33
अ,1,4,ड़,3
ड़,2,4,च,3
च,3,4,न,7
च,3,4,नें,2
नें,4,4,-,13
च,3,4,नों,2
नों,4,4,-,92
अ,1,2,ड़ा,2
ड़ा,2,2,-,29
अ,1,2,ड़ी,1
ड़ी,2,2,-,35
अ,1,2,ड़े,1
ड़े,2,2,-,27
अ,1,2,डे़,1
डे़,2,2,-,28
अ,1,3,ड्,3
ड्,2,3,डा,2
ड्,2,3,डें,1
डें,3,3,-,1
अ,1,5,ड्,1
ड्,2,5,डे,1
डे,3,5,बा,1
बा,4,5,जी,20
जी,5,5,-,36
ड्,2,3,डों,3
डों,3,3,-,20
अ,1,3,ढ़ा,1
ढ़ा,2,3,ई,7
ई,3,3,-,202
अ,1,5,णु,1
णु,2,5,व्,1
व्,3,5,र,7
र,4,5,त,16
अ,1,2,णू,1
णू,2,2,-,1
-,0,8,अ,27
अ,1,8,तं,1
तं,2,8,र,1
अ,1,5,तं,1
तं,2,5,र्,1
अ,1,4,त,2
त,2,4,ए,1
ए,3,4,व,1
व,4,4,-,82
अ,1,3,त,1
त,2,3,री,5
त,2,4,रौ,1
रौ,3,4,ली,3
अ,1,2,ता,1
ता,2,2,-,52
अ,1,2,ति,1
ति,2,2,-,18
अ,1,7,ति,1
ति,2,7,आ,1
आ,3,7,व,1
व,4,7,श्,2
श्,5,7,य,2
य,6,7,क,6
क,7,7,-,81
अ,1,3,ति,3
ति,2,3,क,3
अ,1,6,ति,8
ति,2,6,क्,2
क्,3,6,र,5
म,5,6,ण,2
-,0,9,अ,13
अ,1,9,ति,4
ति,2,9,क्,2
क्,3,9,र,2
र,4,9,म,2
म,5,9,ण,2
ण,6,9,का,1
का,7,9,रि,3
रि,8,9,यों,3
यों,9,9,-,8
अ,1,8,ति,3
ति,2,8,क्,1
क्,3,8,र,1
र,4,8,म,1
म,5,8,ण,1
ण,6,8,का,2
का,7,8,री,8
री,8,8,-,19
ण,6,9,मु,1
मु,7,9,क्,2
क्,8,9,त,3
त,9,9,-,7
म,5,6,णों,1
णों,6,6,-,5
ति,2,3,थि,1
थि,3,3,-,3
अ,1,5,ति,13
ति,2,5,थि,4
थि,3,5,ग,2
ग,4,5,ण,10
ग,4,5,णों,2
णों,5,5,-,15
अ,1,4,ति,4
ति,2,4,थि,1
थि,3,4,यों,3
थि,3,5,शा,1
शा,4,5,ला,10
ति,2,3,थी,1
थी,3,3,-,6
ति,2,5,दो,1
दो,3,5,हि,1
हि,4,5,त,15
ति,2,5,पि,4
पि,3,5,छ,4
छ,4,5,ड़ा,1
ड़ा,5,5,-,1
छ,4,5,ड़ी,1
ड़ी,5,5,-,9
छ,4,5,ड़े,1
ड़े,5,5,-,6
ति,2,6,प्,1
प्,3,6,रा,3
रा,4,6,ची,1
ची,5,6,न,1
न,6,6,-,230
ति,2,9,म,2
म,3,9,ह,2
ह,4,9,त्,2
त्,5,9,व,1
व,6,9,पू,1
पू,7,9,र्,2
र्,8,9,ण,2
ण,9,9,-,6
ति,2,5,रि,2
क्,4,5,त,26
ति,2,4,वा,4
वा,3,4,दी,14
दी,4,4,-,51
ति,2,6,वि,1
वि,3,6,शि,1
शि,4,6,ष्,1
ष्,5,6,ट,5
ट,6,6,-,51
ति,2,5,वृ,1
वृ,3,5,ष्,5
ति,2,6,व्,1
व्,3,6,य,3
य,4,6,स्,1
स्,5,6,त,17
ति,2,5,शी,2
शी,3,5,घ्,2
घ्,4,5,र,2
ति,2,6,श्,1
श्,3,6,यो,1
यो,4,6,क्,1
क्,5,6,ति,12
ति,6,6,-,52
ति,2,8,सं,2
सं,3,8,व,1
व,4,8,दे,1
दे,5,8,न,1
न,6,8,शी,3
शी,7,8,ल,3
ल,8,8,-,9
ति,2,6,सं,1
सं,3,6,वे,1
वे,4,6,द,4
द,5,6,न,13
सं,3,8,वे,1
वे,4,8,द,1
द,5,8,न,1
